,Location,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_100,Total
0,World,1342381000,1253463000,1192080000,1150350000,973155000,833622000,591786000,312459000,124116000,20814000,7794226000
1,Sustainable Development Goal (SDG) regions,,,,,,,,,,,0
2,Sub-Saharan Africa,324399000,253430000,185189000,133417000,89292000,56464000,33385000,15120000,3477000,191000,1094364000
3,Eastern Africa,130038000,105675000,78156000,54108000,35271000,21714000,12849000,5978000,1513000,102000,445404000
4,Burundi,3873000,2725000,2030000,1539000,748000,492000,339000,112000,30000,2000,11890000
5,Comoros,238000,192000,151000,118000,77000,51000,30000,12000,3000,0,872000
6,Djibouti,197000,180000,177000,162000,121000,78000,44000,22000,6000,0,987000
7,Eritrea,972000,861000,572000,460000,281000,172000,128000,77000,21000,2000,3546000
8,Ethiopia,32037000,26829000,21439000,13793000,9039000,5704000,3624000,1929000,524000,44000,114962000
9,Kenya,14014000,12747000,9595000,7470000,4903000,2806000,1519000,574000,138000,6000,53772000
10,Madagascar,7763000,6343000,4899000,3371000,2388000,1539000,915000,360000,103000,9000,27690000
11,Malawi,5663000,4738000,3378000,2286000,1437000,846000,481000,244000,56000,2000,19131000
12,Mauritius,133000,176000,197000,175000,182000,175000,138000,70000,23000,4000,1273000
13,Mayotte,71000,65000,44000,33000,27000,16000,9000,5000,2000,0,272000
14,Mozambique,9718000,7595000,5295000,3589000,2290000,1401000,844000,421000,101000,4000,31258000
15,Réunion,133000,139000,118000,99000,117000,125000,91000,48000,21000,4000,895000
16,Rwanda,3561000,2906000,2211000,1813000,1070000,728000,445000,174000,42000,2000,12952000
17,Seychelles,16000,13000,13000,14000,14000,13000,8000,4000,1000,0,96000
18,Somalia,5216000,3937000,2694000,1535000,1054000,734000,463000,211000,48000,3000,15895000
19,South Sudan,3245000,2581000,1963000,1334000,897000,595000,345000,182000,46000,3000,11191000
20,Uganda,14856000,11449000,7872000,5102000,3133000,1853000,975000,412000,86000,3000,45741000
21,Tanzania,18363000,14089000,9847000,7162000,4821000,2927000,1623000,741000,158000,5000,59736000
22,Zambia,5663000,4551000,3180000,2185000,1414000,762000,404000,180000,44000,2000,18385000
23,Zimbabwe,4308000,3560000,2483000,1868000,1258000,698000,425000,201000,59000,3000,14863000
24,Middle Africa,57748000,42362000,29210000,20439000,13484000,8525000,4940000,2299000,558000,32000,179597000
25,Angola,10899000,7882000,5306000,3700000,2413000,1464000,786000,332000,80000,4000,32866000
26,Cameroon,7846000,6176000,4552000,3400000,2142000,1288000,733000,333000,73000,2000,26545000
27,Central African Republic,1435000,1264000,840000,501000,340000,233000,139000,62000,14000,1000,4829000
28,Chad,5452000,4039000,2782000,1770000,1083000,654000,417000,180000,46000,3000,16426000
29,Congo,1592000,1258000,874000,680000,536000,328000,164000,70000,15000,0,5517000
30,Democratic Republic of the Congo,29487000,21001000,14170000,9762000,6605000,4347000,2585000,1269000,315000,21000,89562000
31,Equatorial Guinea,372000,265000,286000,249000,116000,62000,35000,15000,4000,0,1404000
32,Gabon,600000,422000,367000,350000,232000,134000,72000,37000,11000,0,2225000
33,Sao Tome and Principe,63000,54000,34000,27000,19000,12000,7000,3000,1000,0,220000
34,Southern Africa,13545000,12114000,11625000,11366000,7857000,5401000,3489000,1636000,448000,23000,67504000
35,Botswana,539000,473000,403000,365000,261000,146000,104000,49000,11000,1000,2352000
36,Eswatini,287000,277000,213000,162000,104000,52000,37000,23000,7000,0,1162000
37,Lesotho,479000,429000,395000,328000,210000,141000,97000,49000,15000,1000,2144000
38,Namibia,654000,527000,472000,356000,238000,150000,87000,41000,13000,1000,2539000
39,South Africa,11586000,10409000,10141000,10155000,7043000,4911000,3165000,1476000,402000,19000,59307000
40,Western Africa,123070000,93280000,66198000,47505000,32680000,20823000,12106000,5207000,959000,34000,401862000
41,Benin,3597000,2779000,2062000,1436000,982000,650000,380000,185000,48000,3000,12122000
42,Burkina Faso,6552000,5030000,3508000,2428000,1587000,978000,539000,234000,46000,2000,20904000
43,Cabo Verde,105000,100000,98000,99000,65000,48000,26000,9000,6000,1000,557000
44,Cote d'Ivoire,7750000,6105000,4661000,3172000,2117000,1338000,822000,342000,69000,2000,26378000
45,Gambia,763000,557000,429000,283000,174000,116000,59000,30000,6000,0,2417000
46,Ghana,8057000,6617000,5398000,4190000,3031000,2135000,1091000,456000,91000,4000,31070000
47,Guinea,3966000,3200000,2366000,1470000,898000,615000,408000,171000,37000,1000,13132000
48,Guinea-Bissau,582000,450000,342000,255000,157000,92000,60000,25000,5000,0,1968000
49,Liberia,1418000,1175000,841000,630000,444000,284000,168000,76000,20000,1000,5057000
50,Mali,6761000,5009000,3204000,2160000,1486000,849000,501000,231000,48000,2000,20251000
51,Mauritania,1308000,1007000,788000,619000,423000,267000,151000,68000,18000,1000,4650000
52,Niger,8758000,5901000,3717000,2259000,1529000,1047000,645000,296000,53000,2000,24207000
53,Nigeria,63853000,47703000,33178000,24369000,17038000,10700000,6259000,2624000,408000,10000,206142000
54,Senegal,5032000,3864000,2823000,2052000,1332000,834000,506000,240000,59000,2000,16744000
55,Sierra Leone,2226000,1867000,1405000,1017000,673000,419000,234000,108000,25000,1000,7975000
56,Togo,2340000,1915000,1376000,1064000,745000,451000,256000,112000,20000,1000,8280000
57,Northern Africa and Western Asia,110790000,91967000,86604000,82828000,63153000,44104000,27897000,13279000,4741000,500000,525863000
58,Northern Africa,57003000,44262000,39521000,36469000,27281000,19973000,13199000,6270000,2059000,193000,246230000
59,Algeria,9678000,6731000,6574000,7276000,5449000,3800000,2530000,1238000,515000,60000,43851000
60,Egypt,25028000,18385000,16512000,15198000,10949000,7845000,5122000,2531000,694000,69000,102333000
61,Libya,1285000,1186000,1095000,1163000,1050000,617000,284000,139000,48000,4000,6871000
62,Morocco,6753000,6098000,5883000,5607000,4452000,3744000,2735000,1197000,421000,21000,36911000
63,Sudan,12129000,10124000,7627000,5203000,3727000,2553000,1536000,733000,199000,18000,43849000
64,Tunisia,2018000,1640000,1725000,1914000,1573000,1361000,963000,424000,182000,19000,11819000
65,Western Sahara,112000,99000,105000,109000,83000,52000,29000,8000,1000,0,598000
66,Western Asia,53788000,47705000,47083000,46359000,35872000,24132000,14696000,7009000,2682000,307000,279633000
67,Armenia,419000,368000,408000,504000,353000,362000,328000,126000,81000,10000,2959000
68,Azerbaijan,1686000,1335000,1609000,1766000,1281000,1281000,805000,243000,123000,10000,10139000
69,Bahrain,218000,182000,307000,507000,256000,140000,66000,18000,5000,1000,1700000
70,Cyprus,133000,142000,191000,188000,166000,148000,120000,79000,34000,5000,1206000
71,Georgia,553000,471000,500000,565000,518000,524000,460000,248000,133000,16000,3988000
72,Iraq,10610000,8711000,7166000,5403000,3937000,2341000,1293000,574000,175000,14000,40224000
73,Israel,1671000,1405000,1197000,1123000,1041000,796000,704000,460000,208000,52000,8657000
74,Jordan,2212000,2180000,1802000,1490000,1142000,755000,366000,191000,59000,4000,10201000
75,Kuwait,609000,533000,445000,878000,966000,561000,220000,48000,10000,0,4270000
76,Lebanon,1152000,1135000,1176000,1010000,863000,724000,447000,211000,96000,9000,6823000
77,Oman,833000,531000,1085000,1440000,685000,316000,143000,53000,19000,3000,5108000
78,Qatar,270000,228000,717000,846000,462000,255000,82000,17000,3000,1000,2881000
79,Saudi Arabia,5956000,4860000,5355000,6980000,6409000,3217000,1374000,494000,151000,18000,34814000
80,State of Palestine,1365000,1109000,966000,664000,448000,297000,152000,77000,20000,1000,5099000
81,Syria,3636000,3325000,3100000,2907000,1929000,1285000,822000,355000,127000,14000,17500000
82,Turkey,13419000,13595000,13174000,12775000,11447000,8908000,6192000,3353000,1330000,143000,84336000
83,United Arab Emirates,1012000,843000,2150000,3170000,1608000,798000,243000,56000,11000,1000,9892000
84,Yemen,8033000,6751000,5733000,4140000,2363000,1423000,879000,403000,93000,7000,29825000
85,Central and Southern Asia,367984000,371655000,350319000,313060000,240744000,180279000,117826000,54110000,16957000,1718000,2014652000
86,Central Asia,16022000,12080000,12261000,11934000,8484000,6926000,4465000,1457000,643000,68000,74340000
87,Kazakhstan,3868000,2721000,2573000,2994000,2287000,2040000,1439000,553000,278000,26000,18779000
88,Kyrgyzstan,1529000,1101000,1083000,1015000,686000,581000,364000,112000,49000,5000,6525000
89,Tajikistan,2578000,1788000,1649000,1390000,883000,701000,388000,118000,40000,3000,9538000
90,Turkmenistan,1333000,1009000,1010000,958000,697000,536000,334000,104000,46000,6000,6033000
91,Uzbekistan,6714000,5460000,5947000,5577000,3930000,3069000,1939000,572000,232000,28000,33468000
92,Southern Asia,351963000,359575000,338058000,301127000,232260000,173353000,113361000,52654000,16314000,1650000,1940315000
93,Afghanistan,11089000,9821000,7035000,4534000,2964000,1840000,1058000,480000,100000,6000,38927000
94,Bangladesh,28972000,30674000,29765000,26512000,20651000,15006000,7296000,4096000,1504000,206000,164682000
95,Bhutan,126000,136000,153000,139000,89000,59000,37000,22000,9000,1000,771000
