Country,Continent,ICU_Beds
Japan,Asia,7.3
South Korea,Asia,10.6
Russia,Europe,8.3
Germany,Europe,29.2
Austria,Europe,21.8
Hungary,Europe,13.8
Czech Republic,Europe,11.6
Poland,Europe,6.9
Lithuania,Europe,15.5
France,Europe,11.6
Slovakia,Europe,9.2
Belgium,Europe,15.9
Latvia,Europe,9.7
Hong Kong,Asia,7.1
Estonia,Europe,14.6
Luxembourg,Europe,24.8
Switzerland,Europe,11.0
Slovenia,Europe,6.4
China,Asia,3.6
Greece,Europe,6
Australia,Oceania,9.1
Norway,Europe,8
Portugal,Europe,4.2
Netherlands,Europe,6.4
Finland,Europe,6.1
Italy,Europe,12.5
Iceland,Europe,9.1
Israel,Asia,
Spain,Europe,9.7
Ireland,Europe,6.5
Turkey,Europe,29.8
United States,North America,34.7
New Zealand,Oceania,3.67
Denmark,Europe,6.7
United Kingdom,Europe,6.6
Canada,North America,13.5
Sweden,Europe,5.8
Chile,South America,6
Colombia,South America,0.9
India,Asia,5.2
Mexico,North America,1.2
Africa,Africa,0.1
Europe,Europe,12.5
Asia,Asia,6.1
North America,North America,14.6
South America,South America,3
